10663       0.267868     1708.09      0.14307E-14   1.02775
10662       0.275046     1786.63      0.11538E-13   1.02166
10661       0.275137     1798.10      0.14029E-13   1.02291
10660       0.275229     1716.61      0.35600E-14   1.02743
10659       0.275321     1763.24      0.80371E-14   1.02227
10658       0.275413     1771.69      0.93394E-14   1.02191
10657       0.275505     1734.00      0.49642E-14   1.02358
10656       0.275596     1613.33      0.52697E-15   1.03601
10655       0.275688     1641.02      0.91862E-15   1.03286
10654       0.275780     1675.56      0.17860E-14   1.02720
10653       0.275872     1711.72      0.34800E-14   1.02326
10652       0.275964     1706.14      0.31786E-14   1.02656
10651       0.276056     1719.31      0.40536E-14   1.02585
10650       0.276148     1715.01      0.37915E-14   1.02456
10649       0.276240     1773.41      0.10402E-13   1.02201
10648       0.276332     1760.58      0.84731E-14   1.02293
10647       0.276425     1780.66      0.11931E-13   1.02098
10646       0.276517     1810.50      0.19482E-13   1.02132
10645       0.276609     1801.54      0.17034E-13   1.02082
10644       0.276701     1789.77      0.14210E-13   1.02307
10643       0.276794     1816.11      0.21842E-13   1.01989
10642       0.276886     1820.65      0.23661E-13   1.02122
10641       0.276978     1844.28      0.34394E-13   1.01892
10640       0.277071     1826.51      0.26371E-13   1.02115
10639       0.277163     1830.32      0.28219E-13   1.02166
10638       0.277255     1814.55      0.22241E-13   1.02298
10637       0.277348     1862.69      0.46967E-13   1.02009
10636       0.277440     1790.23      0.15346E-13   1.02299
10635       0.277533     1802.83      0.18950E-13   1.02314
10634       0.277625     1824.71      0.26980E-13   1.02243
10633       0.277718     1816.81      0.24050E-13   1.02231
10632       0.277810     1777.18      0.12846E-13   1.02302
10631       0.277903     1803.75      0.19900E-13   1.02134
10630       0.277996     1824.94      0.28010E-13   1.02152
10629       0.278088     1661.81      0.17470E-14   1.02948
10628       0.278181     1686.09      0.27610E-14   1.02789
10627       0.278274     1723.40      0.54116E-14   1.02259
10626       0.278367     1732.10      0.63493E-14   1.02485
10625       0.278460     1765.54      0.11271E-13   1.02221
10624       0.278552     1778.42      0.14053E-13   1.02145
10623       0.278645     1764.46      0.11266E-13   1.02166
10622       0.278738     1766.71      0.11796E-13   1.02236
10621       0.278831     1824.27      0.29910E-13   1.02106
10620       0.278924     1848.24      0.43522E-13   1.01922
10619       0.279017     1847.52      0.43410E-13   1.02021
10618       0.279110     1835.87      0.36668E-13   1.01954
10617       0.279203     1841.58      0.40340E-13   1.02101
10616       0.279296     1820.62      0.29478E-13   1.02219
10615       0.279389     1918.48      0.12582E-12   1.01744
10614       0.279483     1863.27      0.57272E-13   1.02114
10613       0.279576     1848.58      0.46362E-13   1.02158
10612       0.279669     1850.23      0.47923E-13   1.02166
10611       0.279762     1870.32      0.65130E-13   1.02035
10610       0.279856     1897.44      0.97268E-13   1.01980
10609       0.279949     1838.62      0.41223E-13   1.02180
10608       0.280042     1805.50      0.24897E-13   1.02386
10607       0.280136     1880.49      0.78071E-13   1.01937
10606       0.280229     1877.05      0.74862E-13   1.01846
10605       0.280322     1792.56      0.20800E-13   1.02442
10604       0.280416     1895.29      0.98982E-13   1.01818
10603       0.280509     1862.39      0.61857E-13   1.02001
10602       0.280603     1865.68      0.65467E-13   1.02000
10601       0.280697     1687.87      0.36528E-14   1.02942
10600       0.280790     1747.08      0.10313E-13   1.02428
