# wavelength  forest  ocean  sand ice
0.955 0.897796 0.880615 0.859314 0.0561739
0.96 0.899031 0.882597 0.86132 0.0557017
0.965 0.900933 0.884595 0.861675 0.0552901
0.97 0.90285 0.88661 0.862036 0.0548886
0.975 0.904783 0.888641 0.862403 0.0544969
0.98 0.906731 0.890688 0.862776 0.0541148
0.985 0.90894 0.892753 0.86525 0.0537419
0.99 0.911167 0.894833 0.86773 0.053378
0.995 0.913411 0.89693 0.870215 0.0530228
1.0 0.915674 0.899044 0.872706 0.052676
1.005 0.917345 0.900818 0.875664 0.0522872
1.01 0.919031 0.902607 0.878627 0.0519063
1.015 0.920731 0.904412 0.881595 0.0515332
1.02 0.922445 0.906232 0.884569 0.0511677
1.025 0.924173 0.908066 0.888192 0.0508599
1.03 0.925916 0.909918 0.89182 0.0505592
1.035 0.927672 0.911784 0.895452 0.0502656
1.04 0.929444 0.913666 0.899089 0.0499787
1.045 0.93123 0.915564 0.899064 0.0496984
1.05 0.93303 0.917479 0.899043 0.0494245
1.055 0.932938 0.917389 0.899026 0.0491568
1.06 0.932848 0.917302 0.899012 0.0488952
1.065 0.93276 0.917216 0.898227 0.048589
1.07 0.932674 0.917133 0.897446 0.0482885
1.075 0.93259 0.917051 0.896669 0.0479936
1.08 0.932508 0.916971 0.895894 0.0477042
1.085 0.932428 0.916893 0.900319 0.0474705
1.09 0.93235 0.916817 0.904747 0.047242
1.095 0.932273 0.916742 0.909179 0.0470186
1.1 0.932198 0.916669 0.913614 0.0468
